Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Shwasa Kuthar Ras Varti,Respiratory Disorders,Not recommended during pregnancy and lactation.,"Bronchodilator, Respiratory Tonic","Shwasa Kuthar Ras, Honey",Provides relief in respiratory disorders.
Rasa Parpati Varti,Digestive Disorders,Avoid in cases of hyperacidity and gastritis.,"Digestive, Carminative","Rasa Parpati, Honey",Balances digestive functions.
Rasa Parpati Varti,Gastritis,Avoid in cases of hyperacidity and gastritis.,"Digestive, Carminative","Rasa Parpati, Honey",Balances digestive functions.
Yashad Bhasma Khanda Varti,Skin Disorders,Should not be taken in high doses.,"Skin Rejuvenating, Toning","Yashad Bhasma, Honey",Promotes healing and tissue repair.
Yashad Bhasma Khanda Varti,Skin Toning,Should not be taken in high doses.,"Skin Rejuvenating, Toning","Yashad Bhasma, Honey",Promotes healing and tissue repair.
Sootashekhar Khanda Varti,Hyperacidity,Contraindicated in severe kidney diseases.,"Antacid, Cooling","Sootashekhar, Honey",Alleviates digestive discomfort.
Sootashekhar Khanda Varti,Gastritis,Contraindicated in severe kidney diseases.,"Antacid, Cooling","Sootashekhar, Honey",Alleviates digestive discomfort.
Vasa Khanda Ghrita Varti,Respiratory Disorders,Avoid if you have liver or gallbladder disorders.,"Expectorant, Bronchodilator","Vasa, Ghee",Supports respiratory health.
Vasa Khanda Ghrita Varti,Cough,Avoid if you have liver or gallbladder disorders.,"Expectorant, Bronchodilator","Vasa, Ghee",Supports respiratory health.
Haridradi Khanda Ghrita Varti,Skin Pigmentation,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Promotes healthy skin.
Haridradi Khanda Ghrita Varti,Melasma,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Promotes healthy skin.
Kasisadi Taila Khanda Ghrita Varti,Burn Injuries,Should be used cautiously in diabetes.,"Healing, Cooling","Kasisa, Ghee",Supports joint health.
Kasisadi Taila Khanda Ghrita Varti,Wounds,Should be used cautiously in diabetes.,"Healing, Cooling","Kasisa, Ghee",Supports joint health.
Guggulutiktaka Khanda Varti,Skin Disorders,Not recommended for pregnant or breastfeeding women.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Reduces inflammation.
Guggulutiktaka Khanda Varti,Psoriasis,Not recommended for pregnant or breastfeeding women.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Reduces inflammation.
Vriddhadaruka Ghrita Khanda Varti,Hemorrhoids,Avoid in individuals with a history of heart diseases.,"Hemostatic, Analgesic","Vriddhadaruka, Ghee",Supports digestive health.
Vriddhadaruka Ghrita Khanda Varti,Piles,Avoid in individuals with a history of heart diseases.,"Hemostatic, Analgesic","Vriddhadaruka, Ghee",Supports digestive health.
Mahatikta Ghrita Khanda Varti,Skin Disorders,Contraindicated in severe liver diseases.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Ghee",Purifies the blood.
Mahatikta Ghrita Khanda Varti,Eczema,Contraindicated in severe liver diseases.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Ghee",Purifies the blood.
Tapyadi Khanda Ghrita Varti,Hemorrhoids,Not suitable for individuals with gastritis.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestion.
Tapyadi Khanda Ghrita Varti,Anal Fissures,Not suitable for individuals with gastritis.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestion.
Yashad Bhasma Khanda Ghrita Varti,Skin Disorders,Should not be taken in high doses.,"Skin Rejuvenating, Toning","Yashad Bhasma, Ghee",Promotes healing and tissue repair.
Yashad Bhasma Khanda Ghrita Varti,Skin Toning,Should not be taken in high doses.,"Skin Rejuvenating, Toning","Yashad Bhasma, Ghee",Promotes healing and tissue repair.
Sootashekhar Khanda Ghrita Varti,Hyperacidity,Pregnancy and lactation.,"Antacid, Cooling","Sootashekhar, Ghee",Acts as a gastroprotective agent and antacid
Sootashekhar Khanda Ghrita Varti,Gastritis,Pregnancy and lactation.,"Antacid, Cooling","Sootashekhar, Ghee",Acts as a gastroprotective agent and antacid
Vasa Khanda Taila Varti,Respiratory Disorders,Avoid if you have liver or gallbladder disorders.,"Expectorant, Bronchodilator","Vasa, Sesame Oil",Supports respiratory health.
Vasa Khanda Taila Varti,Cough,Avoid if you have liver or gallbladder disorders.,"Expectorant, Bronchodilator","Vasa, Sesame Oil",Supports respiratory health.
Haridradi Khanda Taila Varti,Skin Pigmentation,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Sesame Oil",Promotes healthy skin.
Haridradi Khanda Taila Varti,Melasma,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Sesame Oil",Promotes healthy skin.
Kapikacchu Ghrita Khanda Varti,Male Infertility,Contraindicated in individuals with hypertension.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nerve and muscle function.
Kapikacchu Ghrita Khanda Varti,Parkinson's Disease,Contraindicated in individuals with hypertension.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nerve and muscle function.
Bhallatakadi Varti,Skin Disorders,Avoid during pregnancy and breastfeeding.,"Antipsoriatic, Skin Healing","Bhallataka, Ghee",Alleviates skin conditions.
Bhallatakadi Varti,Psoriasis,Avoid during pregnancy and breastfeeding.,"Antipsoriatic, Skin Healing","Bhallataka, Ghee",Alleviates skin conditions.
Vriddhadaruka Khanda Varti,Hemorrhoids,Avoid in individuals with a history of heart diseases.,"Hemostatic, Analgesic","Vriddhadaruka, Honey",Supports digestive health.
Vriddhadaruka Khanda Varti,Piles,Avoid in individuals with a history of heart diseases.,"Hemostatic, Analgesic","Vriddhadaruka, Honey",Supports digestive health.
Rasnadi Khanda Taila Varti,Sinusitis,Not recommended for individuals with skin allergies.,"Decongestant, Analgesic","Rasna, Sesame Oil",Reduces inflammation.
Rasnadi Khanda Taila Varti,Headache,Not recommended for individuals with skin allergies.,"Decongestant, Analgesic","Rasna, Sesame Oil",Reduces inflammation.
Mahatikta Khanda Taila Varti,Skin Disorders,Contraindicated in severe liver diseases.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Sesame Oil",Purifies the blood.
Mahatikta Khanda Taila Varti,Eczema,Contraindicated in severe liver diseases.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Sesame Oil",Purifies the blood.
Tapyadi Khanda Taila Varti,Hemorrhoids,Not suitable for individuals with gastritis.,"Hemostatic, Lubricating","Tapyadi, Sesame Oil",Supports digestion.
Tapyadi Khanda Taila Varti,Anal Fissures,Not suitable for individuals with gastritis.,"Hemostatic, Lubricating","Tapyadi, Sesame Oil",Supports digestion.
Yashad Bhasma Khanda Taila Varti,Skin Disorders,Should not be taken in high doses.,"Skin Rejuvenating, Toning","Yashad Bhasma, Sesame Oil",Promotes healing and tissue repair.
Yashad Bhasma Khanda Taila Varti,Skin Toning,Should not be taken in high doses.,"Skin Rejuvenating, Toning","Yashad Bhasma, Sesame Oil",Promotes healing and tissue repair.
Sootashekhar Khanda Taila Varti,Hyperacidity,Contraindicated in severe kidney diseases.,"Antacid, Cooling","Sootashekhar, Sesame Oil",Alleviates digestive discomfort.
Sootashekhar Khanda Taila Varti,Gastritis,Contraindicated in severe kidney diseases.,"Antacid, Cooling","Sootashekhar, Sesame Oil",Alleviates digestive discomfort.
Vasa Khanda Ghrita Khanda Varti,Respiratory Disorders,Avoid if you have liver or gallbladder disorders.,"Expectorant, Bronchodilator","Vasa, Ghee",Supports respiratory health.
Vasa Khanda Ghrita Khanda Varti,Cough,Avoid if you have liver or gallbladder disorders.,"Expectorant, Bronchodilator","Vasa, Ghee",Supports respiratory health.
Haridradi Khanda Ghrita Khanda Varti,Skin Pigmentation,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Promotes healthy skin.
Haridradi Khanda Ghrita Khanda Varti,Melasma,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Promotes healthy skin.
Kasisadi Taila Khanda Ghrita Khanda Varti,Burn Injuries,Should be used cautiously in diabetes.,"Healing, Cooling","Kasisa, Ghee",Supports joint health.
Kasisadi Taila Khanda Ghrita Khanda Varti,Wounds,Should be used cautiously in diabetes.,"Healing, Cooling","Kasisa, Ghee",Supports joint health.
Guggulutiktaka Khanda Ghrita Khanda Varti,Skin Disorders,Not recommended for pregnant or breastfeeding women.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Reduces inflammation.
Guggulutiktaka Khanda Ghrita Khanda Varti,Psoriasis,Not recommended for pregnant or breastfeeding women.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Reduces inflammation.
Rasnadi Khanda Taila Ghrita Varti,Sinusitis,Not recommended for individuals with skin allergies.,"Decongestant, Analgesic","Rasna, Ghee",Reduces inflammation.
Rasnadi Khanda Taila Ghrita Varti,Headache,Not recommended for individuals with skin allergies.,"Decongestant, Analgesic","Rasna, Ghee",Reduces inflammation.
Mahatikta Khanda Taila Ghrita Varti,Skin Disorders,Contraindicated in severe liver diseases.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Ghee",Purifies the blood.
Mahatikta Khanda Taila Ghrita Varti,Eczema,Contraindicated in severe liver diseases.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Ghee",Purifies the blood.
Tapyadi Khanda Taila Ghrita Varti,Hemorrhoids,Not suitable for individuals with gastritis.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestion.
Tapyadi Khanda Taila Ghrita Varti,Anal Fissures,Not suitable for individuals with gastritis.,"Hemostatic, Lubricating","Tapyadi, Ghee",Supports digestion.
Karpura Varti,Headache,Avoid in cases of epilepsy or seizures.,"Analgesic, Relaxant","Camphor, Honey",Provides relief from congestion.
Karpura Varti,Anxiety,Avoid in cases of epilepsy or seizures.,"Analgesic, Relaxant","Camphor, Honey",Provides relief from congestion.
Haridradi Khanda Taila Ghrita Varti,Skin Pigmentation,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Promotes healthy skin.
Haridradi Khanda Taila Ghrita Varti,Melasma,Not suitable for those with high cholesterol.,"Depigmenting, Skin Rejuvenating","Haridra, Ghee",Promotes healthy skin.
Kapikacchu Ghrita Khanda Taila Ghrita Varti,Male Infertility,Contraindicated in individuals with hypertension.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nerve and muscle function.
Kapikacchu Ghrita Khanda Taila Ghrita Varti,Parkinson's Disease,Contraindicated in individuals with hypertension.,"Aphrodisiac, Nervine Tonic","Kapikacchu, Ghee",Supports nerve and muscle function.
Kasisadi Taila Khanda Taila Ghrita Varti,Burn Injuries,Should be used cautiously in diabetes.,"Healing, Cooling","Kasisa, Ghee",Supports joint health.
Kasisadi Taila Khanda Taila Ghrita Varti,Wounds,Should be used cautiously in diabetes.,"Healing, Cooling","Kasisa, Ghee",Supports joint health.
Guggulutiktaka Khanda Taila Ghrita Varti,Skin Disorders,Not recommended for pregnant or breastfeeding women.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Reduces inflammation.
Guggulutiktaka Khanda Taila Ghrita Varti,Psoriasis,Not recommended for pregnant or breastfeeding women.,"Antipsoriatic, Anti-inflammatory","Guggulu, Neem",Reduces inflammation.
Triphala Varti,Digestive Disorders,Avoid in cases of severe diarrhea or dehydration.,"Digestive, Laxative","Triphala, Honey",Promotes digestive health.
Triphala Varti,Constipation,Avoid in cases of severe diarrhea or dehydration.,"Digestive, Laxative","Triphala, Honey",Promotes digestive health.
Chirabilwadi Varti,Hemorrhoids,Contraindicated in cases of severe constipation.,"Hemostatic, Analgesic","Chirabilva, Honey",Supports bowel movements.
Chirabilwadi Varti,Piles,Contraindicated in cases of severe constipation.,"Hemostatic, Analgesic","Chirabilva, Honey",Supports bowel movements.
Laghu Sutshekhar Varti,Hyperacidity,Avoid in individuals with a history of kidney stones.,"Antacid, Digestive","Laghu Sutshekhar, Honey",Alleviates acidity and indigestion.
Laghu Sutshekhar Varti,Indigestion,Avoid in individuals with a history of kidney stones.,"Antacid, Digestive","Laghu Sutshekhar, Honey",Alleviates acidity and indigestion.
Ashwagandha Modak,Stress,Not recommended during pregnancy and lactation.,"Adaptogenic, Nervine Tonic","Ashwagandha, Varied herbs",Supports stress management.
Ashwagandha Modak,Anxiety,Not recommended during pregnancy and lactation.,"Adaptogenic, Nervine Tonic","Ashwagandha, Varied herbs",Supports stress management.
Ashwagandha Modak,Fatigue,Not recommended during pregnancy and lactation.,"Adaptogenic, Nervine Tonic","Ashwagandha, Varied herbs",Supports stress management.
Triphala Modak,Digestive Disorders,Avoid in cases of severe diarrhea or dehydration.,"Digestive, Laxative","Triphala, Varied herbs",Promotes digestive health.
Triphala Modak,Constipation,Avoid in cases of severe diarrhea or dehydration.,"Digestive, Laxative","Triphala, Varied herbs",Promotes digestive health.
Chandraprabha Modak,Urinary Disorders,Contraindicated in cases of urinary tract infections.,"Diuretic, Urinary Tonic","Chandraprabha, Varied herbs",Supports urinary health.
Chandraprabha Modak,UTIs,Contraindicated in cases of urinary tract infections.,"Diuretic, Urinary Tonic","Chandraprabha, Varied herbs",Supports urinary health.
Kutaj Modak,Diarrhea,Avoid during pregnancy and breastfeeding.,"Astringent, Antidiarrheal","Kutaj, Varied herbs",Relieves diarrhea and dysentery.
Kutaj Modak,Dysentery,Avoid during pregnancy and breastfeeding.,"Astringent, Antidiarrheal","Kutaj, Varied herbs",Relieves diarrhea and dysentery.
Shankh Bhasma Modak,Hyperacidity,Not suitable for individuals with a history of gastric ulcers.,"Antacid, Cooling","Shankh Bhasma, Varied herbs",Supports digestive health.
Shankh Bhasma Modak,Gastritis,Not suitable for individuals with a history of gastric ulcers.,"Antacid, Cooling","Shankh Bhasma, Varied herbs",Supports digestive health.
Kamdudha Modak,Hyperacidity,Contraindicated in cases of high blood pressure.,"Antacid, Cooling","Kamdudha, Varied herbs",Alleviates acidity and gastritis.
Kamdudha Modak,Gastritis,Contraindicated in cases of high blood pressure.,"Antacid, Cooling","Kamdudha, Varied herbs",Alleviates acidity and gastritis.
Bhringaraja Modak,Hair Loss,Avoid during pregnancy and breastfeeding.,"Hair Tonic, Scalp Nourishing","Bhringaraja, Varied herbs",Promotes hair and skin health.
Bhringaraja Modak,Scalp Disorders,Avoid during pregnancy and breastfeeding.,"Hair Tonic, Scalp Nourishing","Bhringaraja, Varied herbs",Promotes hair and skin health.
Prawal Pishti Modak,Hyperacidity (Acid Reflux),Not recommended in high doses.,"Antacid, Cooling","Prawal Pishti, Varied herbs",Supports digestive health.
Tapyadi Modak,Hemorrhoids (Piles),Not suitable for individuals with gastritis.,"Hemostatic, Analgesic","Tapyadi, Varied herbs",Supports digestion.
Sootashekhar Modak,Hyperacidity (Gastritis),Contraindicated in severe kidney diseases.,"Antacid, Cooling","Sootashekhar, Varied herbs",Alleviates digestive discomfort.
Praval Pishti Modak,Hyperacidity (Acid Reflux),Not recommended in high doses.,"Antacid, Cooling","Praval Pishti, Varied herbs",Supports digestive health.
Chandanadi Modak,Skin Disorders (Acne Vulgaris),Avoid in cases of skin allergies.,"Skin Rejuvenating, Antiacne","Chandana, Varied herbs",Promotes cooling and soothing.
Rasnadi Modak,Sinusitis (Chronic Sinusitis),Not recommended during pregnancy.,"Decongestant, Analgesic","Rasna, Varied herbs","Contains ingredients like Rasna, which have analgesic and anti-inflammatory properties."
Mahatikta Modak,Skin Disorders (Eczema),Avoid during pregnancy and lactation.,"Skin Rejuvenating, Anti-inflammatory","Mahatikta, Varied herbs",Contains bitter herbs known for their detoxifying and anti-inflammatory properties.
